Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
ZombieINC_BossMultiply,entityclasses,Entity,,x,The Hungry Boss,,吞噬者
ZombieINC_BossMultiplyMini,entityclasses,Entity,,x,The Hungry MiniBoss,,吞食者
ZombieINC_MinionMultiply1,entityclasses,Entity,,x,Devoured Zombies,,饥饿的僵尸
ZombieINC_BossFire,entityclasses,Entity,,x,The Burnt Boss,,灼烧者
ZombieINC_MinionMaleFire,entityclasses,Entity,,x,Burnt Uncle,,灼烧者的姑父
ZombieINC_MinionWomanFire,entityclasses,Entity,,x,Burnt Aunt,,灼烧者的姑母
ZombieINC_MinionKidFire,entityclasses,Entity,,x,Burnt Nephew,,灼烧者的侄子
ZombieINC_MinionKidFire2,entityclasses,Entity,,x,Burnt Little Nephew,,灼烧者的小侄子
ZombieINC_BossScientist,entityclasses,Entity,,x,The Scientist Boss,,科学怪人
ZombieINC_MinionScientist1,entityclasses,Entity,,x,Trainee Marcy,,助手
ZombieINC_MinionScientist2,entityclasses,Entity,,x,Trainee Karen,,助手
ZombieINC_MinionScientist3,entityclasses,Entity,,x,Trainee Mary,,助手
ZombieINC_MinionScientist4,entityclasses,Entity,,x,Trainee Clara,,助手
ZombieINC_MinionScientist5,entityclasses,Entity,,x,Trainee Sarah,,助手
ZombieINC_MinionScientist6,entityclasses,Entity,,x,Trainee Elena,,助手
ZombieINC_BossTwinsBlue,entityclasses,Entity,,x,The Blue Twin Boss,,双胞胎蓝
ZombieINC_BossTwinsRed,entityclasses,Entity,,x,The Red Twin Boss,,双胞胎红
ZombieINC_BossTwinsBlueInfested,entityclasses,Entity,,x,The Blue Twin Boss,,双胞胎蓝
ZombieINC_BossTwinsRedInfested,entityclasses,Entity,,x,The Red Twin Boss,,双胞胎红
ZombieINC_BossBomber,entityclasses,Entity,,x,The Bomber Boss,,炸弹客
ZombieINC_BossDemolition,entityclasses,Entity,,x,The Demolisher Boss,,毁灭者
ZombieINC_BossDemolitionInfested,entityclasses,Entity,,x,The Tyrant,,暴君
ZombieINC_capChimneyLargeSmoke_T3_W1,blocks,Block,,x,"Zombie Lure (Wave 1)",,"僵尸诱饵（波次1）"
ZombieINC_capChimneyLarge_T3_W1,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T3_W2,blocks,Block,,x,"Zombie Lure (Wave 2)",,"僵尸诱饵（波次2）"
ZombieINC_capChimneyLarge_T3_W2,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T3_W3,blocks,Block,,x,"Zombie Lure (Wave 3)",,"僵尸诱饵（波次3）"
ZombieINC_capChimneyLarge_T3_W3,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T3_W4,blocks,Block,,x,"Zombie Lure (Wave 4)",,"僵尸诱饵（波次4）"
ZombieINC_capChimneyLarge_T3_W4,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T4_W1,blocks,Block,,x,"Zombie Lure (Wave 1)",,"僵尸诱饵（波次1）"
ZombieINC_capChimneyLarge_T4_W1,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T4_W2,blocks,Block,,x,"Zombie Lure (Wave 2)",,"僵尸诱饵（波次2）"
ZombieINC_capChimneyLarge_T4_W2,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T4_W3,blocks,Block,,x,"Zombie Lure (Wave 3)",,"僵尸诱饵（波次3）"
ZombieINC_capChimneyLarge_T4_W3,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T4_W4,blocks,Block,,x,"Zombie Lure (Wave 4)",,"僵尸诱饵（波次4）"
ZombieINC_capChimneyLarge_T4_W4,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T4_W5,blocks,Block,,x,"Zombie Lure (Wave 5)",,"僵尸诱饵（波次5）"
ZombieINC_capChimneyLarge_T4_W5,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T4_W6,blocks,Block,,x,"Zombie Lure (Wave 6)",,"僵尸诱饵（波次6）"
ZombieINC_capChimneyLarge_T4_W6,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W1,blocks,Block,,x,"Zombie Lure (Wave 1)",,"僵尸诱饵（波次1）"
ZombieINC_capChimneyLarge_T5_W1,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W2,blocks,Block,,x,"Zombie Lure (Wave 2)",,"僵尸诱饵（波次2）"
ZombieINC_capChimneyLarge_T5_W2,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W3,blocks,Block,,x,"Zombie Lure (Wave 3)",,"僵尸诱饵（波次3）"
ZombieINC_capChimneyLarge_T5_W3,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W4,blocks,Block,,x,"Zombie Lure (Wave 4)",,"僵尸诱饵（波次4）"
ZombieINC_capChimneyLarge_T5_W4,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W5,blocks,Block,,x,"Zombie Lure (Wave 5)",,"僵尸诱饵（波次5）"
ZombieINC_capChimneyLarge_T5_W5,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W6,blocks,Block,,x,"Zombie Lure (Wave 6)",,"僵尸诱饵（波次6）"
ZombieINC_capChimneyLarge_T5_W6,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_capChimneyLargeSmoke_T5_W7,blocks,Block,,x,"Zombie Lure (Wave 7)",,"僵尸诱饵（波次7）"
ZombieINC_capChimneyLarge_T5_W7,blocks,Block,,x,"Zombie Lure Broken",,"僵尸诱饵坏了"
ZombieINC_Scientist1Note1_name
ZombieINC_Scientist1Note1_item
ZombieINC_Scientist1Note1_desc
ZombieINC_Scientist1Note1_text
